Timestamp,Jurusan kuliah kamu saat ini,Jurusan saat SMA/SMK,Minat yang anda miliki terkait bidang kuliah?,"Jika kamu memiliki waktu luang, apa yang ingin kamu lakukan ?",Apa kemampuan yang kamu miliki dan kamu rasakan lebih menonjol dibandingkan orang lain ?,Apa yang ingin kamu lakukan sebagai bekal untuk berkarier ke depannya ?
5/30/2022 13:21:28,Akuntansi,IPS,Keuangan dan Bisnis,Membuka toko online,Ketelitian dan Kesetiaan,Mengambil S2
5/30/2022 15:07:43,Teknik Informatika,IPA,UI/UX,Tidur,Desain dan videografi,Eksplorasi ide
5/30/2022 20:20:24,Teknik Informatika,IPA,"Teknologi, programming",Mengembangkan skill programming,Mudah mempelajari sesuatu,"Membuat proyek, mengikuti magang atau kerja"
5/30/2022 20:57:41,Teknik Sipil,IPA,Konstruksi ,Travelling ,Tekun,Belajar Bahasa Asing
5/30/2022 22:13:39,Desain Produk,IPA,"desain, gambar",bersantai,menggambar ,menyelesaikan kuliah 
5/30/2022 22:18:56,Akuntansi,IPA,"Matematika bisnis, ekonomi mikro, ekonomi makro","Baca buku, liburan, nonton film","Matematika, pengetahuan umum, olahraga (basket)","perbanyak literasi, ikut seminar, organisasi, magang, pelatihan, volunteer, belajar bahasa & public speaking"
5/31/2022 9:51:46,Matematika,IPA,Mengikuti panitia kegiatan,Menonton film,kurang mengerti,saya ingin magang dibeberapa tempat untuk mendapatkan pengalaman kerja
5/31/2022 9:52:16,Matematika,IPA,Matematika,"Jika saya memiliki waktu luang saya ingin melatih skill saya dengan ikut pelatihan, organisasi dsb",-softskill dalam bahasa pemrograman python,Saya telah mengikuti beberapa pelatihan data analyst dan data science
5/31/2022 9:53:51,Matematika,IPA,Analisis,Kegiatan luar kampus,"Memahami potensi orang lain, dan bisa menyampaikan. ",Menambah skill dibidang jurusan yang saya geluti
5/31/2022 9:57:30,Matematika,IPA,Profesional dan komersial,Berkegiatan positif seperti organisasi dan healing,"Beradaptasi dengan lingkungan baru, organisatoris","Mengasah bakat minat saya, dan mulai mencari tahu prospek kerja"
5/31/2022 9:58:02,Matematika,IPA,matematika,"hangout, dan menonton drama",suka menggambar,ingin bekerja menjadi wanita karier 
5/31/2022 10:07:09,Matematika,IPA,Data Science,Mengikuti internship dan pelatihan sesuai minat ,Kemampuan di bidang statistika terutama terkait analisis data,Fokus pada perkuliahan dan membekali diri dengan ikut serta pelatihan atau internship yang sesuai dengan minat saya. Dengan begitu saya harap bisa menjadi investasi ilmu untuk berkarier kedepannya.
5/31/2022 10:10:43,Matematika,IPA,Matematika Terapan,Menelusuri pengetahuan yang ingin saya ketahui dan mengembangkan skill digital,"Rasa penasaran, rajin",Mengembangkan skill digital
5/31/2022 10:19:58,Pendidikan Matematika,IPA,Statistika,Bekerja,Fisik,Mengajar di bimbel dan mengikuti kampus merdeka sebagai bekal setelah lulus
5/31/2022 10:38:43,Matematika,IPA,Matematika Terapan,Mendalami tentang content writer,-,"Mengasah skill public speaking
"
5/31/2022 10:53:05,Hukum Tata Negara,IPA,"Hukum, sejarah dan pemerintahan","Membaca, Tidur, Bermain game",Berbicara dan memahami konteks,Memperdalam ilmu dan mengasah skill
5/31/2022 11:02:54,kedokteran,IPA,Kedokteran,"Membaca buku, fotografi","Edit foto video, menulis puisi",Menjadi dokter yang bekerja sepenuh hati
5/31/2022 11:25:34,Perpustakaan dan Ilmu Informasi ,IPA,Menulis,Memperbaiki hal-hal yang kurang maksimal ,Menulis,Public speaking yang baik
5/31/2022 12:16:11,Jurusan Hukum Tata Negara,IPA,"Hukum, persidangan, politik","Istirahat (tidur), nonton film","kemampuan problem solving dengan dalil” hukum, kemampuan berorganisasi, publik speaking","saya ingin belajar giat tekun dan produktif, agar ilmu yg saya dapatkan, dapat berguna dengan baik untuk masa depan saya"
5/31/2022 13:21:54,Matematika,IPA,Perhitungan,Membaca buku,Berpikir kritis dan kreatif,"Mengikuti magang, course, lisence"
5/31/2022 18:06:16,Matematika,IPA,Statistika,"Jika waktu luang saya mengisi waktu dengan menonton film dan bermain game, terkadang membaca buku juga",Aku memiliki kemampuan berpikir kritis dan tidak malu bertanya,Bekal yg ingin saya lakukan salah satunya melebarkan koneksi pertemanan 
5/31/2022 18:44:41,Matematika,IPA,Matematika terapan,Ngejalanin hobi,Sukaa belajar hal baru,Mengembangkan minat dan bakat
5/31/2022 19:27:14,Matematika,IPA,Kesehatan,Istirahat,Analisis data,Ikut berbagai Workshop data analisis
